Taken by Alex and Dennis 2/20/15

AccelX, AccelY, AccelZ, Roll, Pitch, Heading
0.000, 0.000, 0.000, 0.000, 0.000, 0.000
-3.138, 1.334, 10.238, 7.100, -16.906, 0.000
-2.432, 3.452, 9.375, 19.616, -13.682, 0.000
-2.236, 0.785, 10.748, 4.088, -11.721, 0.000
-1.961, 0.039, 11.219, 0.197, -9.916, 0.000
-2.314, 1.059, 10.120, 5.825, -12.813, 0.000
-0.981, 0.785, 11.101, 4.027, -5.036, 0.000
-1.098, 0.706, 10.395, 3.864, -6.018, 0.000
-0.353, 0.275, 10.356, 1.518, -1.952, 0.000
-1.451, 0.628, 9.218, 3.848, -8.927, 0.000
-0.745, 0.039, 10.238, 0.219, -4.164, 0.000
-0.902, -0.745, 10.395, -4.086, -4.948, 0.000
-0.510, 0.353, 10.787, 1.872, -2.705, 0.000
-2.471, 0.628, 10.120, 3.448, -13.697, 0.000
-4.982, 0.981, 8.434, 5.717, -30.402, 0.000
-4.903, 1.765, 9.022, 9.754, -28.074, 0.000
-5.374, 1.648, 8.081, 9.635, -33.090, 0.000
-5.609, 2.040, 7.963, 11.828, -34.310, 0.000
-5.374, 0.628, 8.708, 3.510, -31.613, 0.000
-4.903, 0.745, 8.865, 4.208, -28.861, 0.000
-2.511, -1.412, 12.709, -6.221, -11.107, 0.000
-3.217, -3.844, 6.747, -27.217, -22.501, 0.000
-1.255, -0.628, 10.238, -3.482, -6.977, 0.000
-0.235, -1.569, 11.180, -7.988, -1.194, 0.000
-1.530, -0.628, 7.218, -4.862, -11.923, 0.000
-0.588, 0.275, 9.767, 1.607, -3.446, 0.000
-2.040, 0.941, 12.082, 4.394, -9.555, 0.000
-3.766, -0.078, 12.121, -0.354, -17.259, 0.000
-4.393, -0.039, 13.376, -0.160, -18.182, 0.000
-3.373, 1.020, 12.945, 4.360, -14.564, 0.000
-2.432, -1.648, 9.375, -9.654, -14.332, 0.000
0.000, 0.000, 5.766, 0.000, 0.000, 0.000
-0.902, -2.079, 8.708, -13.358, -5.754, 0.000
0.157, 0.785, 10.317, 4.348, 0.869, 0.000
-1.569, -1.020, 12.474, -4.638, -7.146, 0.000
-0.902, 0.981, 8.708, 6.391, -5.878, 0.000
1.373, -0.588, 6.786, -4.858, 11.396, 0.000
1.216, -0.392, 11.454, -1.950, 6.057, 0.000
0.196, -1.255, 11.925, -6.008, 0.937, 0.000
1.334, 0.902, 8.630, 5.899, 8.738, 0.000
1.098, -1.216, 9.885, -6.971, 6.293, 0.000
1.334, -0.275, 11.729, -1.333, 6.486, 0.000
-0.471, -0.588, 9.924, -3.389, -2.711, 0.000
0.588, -1.098, 9.336, -6.697, 3.582, 0.000
0.157, -1.491, 11.925, -7.124, 0.748, 0.000
-1.804, -1.569, 11.023, -7.997, -9.206, 0.000
0.824, -2.079, 8.669, -13.428, 5.279, 0.000
0.275, -2.667, 11.140, -13.461, 1.373, 0.000
-2.079, -2.511, 12.121, -11.538, -9.534, 0.000
-0.510, -2.275, 8.708, -14.618, -3.243, 0.000
-0.078, -3.295, 10.317, -17.713, -0.415, 0.000
-3.099, -6.433, 12.474, -26.588, -12.451, 0.000
-1.648, -1.177, 8.787, -7.499, -10.528, 0.000
-0.039, -0.902, 9.336, -5.520, -0.240, 0.000
0.235, 0.118, 12.435, 0.542, 1.084, 0.000
-2.197, -0.588, 9.924, -3.313, -12.460, 0.000
-1.255, -1.059, 11.336, -5.305, -6.291, 0.000
0.235, -1.491, 10.277, -8.250, 1.298, 0.000
-1.059, 0.000, 10.866, 0.000, -5.567, 0.000
-1.569, -0.078, 11.533, -0.386, -7.748, 0.000
-0.824, -1.648, 11.297, -8.275, -4.127, 0.000
-1.530, 0.785, 11.376, 3.910, -7.641, 0.000
-2.511, 4.040, 10.238, 20.971, -12.849, 0.000
-1.844, 3.923, 9.297, 22.484, -10.354, 0.000
-3.217, 3.766, 10.003, 19.717, -16.749, 0.000
-3.844, 4.197, 8.355, 24.530, -22.349, 0.000
-3.334, 3.570, 10.042, 18.642, -17.372, 0.000
-2.354, 2.354, 9.571, 13.430, -13.430, 0.000
-1.294, 3.727, 9.571, 21.098, -7.183, 0.000
-0.706, 2.824, 9.807, 16.027, -3.958, 0.000
-2.079, 2.432, 9.767, 13.687, -11.670, 0.000
-0.706, 3.570, 9.414, 20.712, -4.011, 0.000
-2.314, 2.746, 10.081, 14.867, -12.490, 0.000
-2.157, 2.942, 9.140, 17.395, -12.664, 0.000
-2.393, 3.727, 9.885, 20.123, -12.762, 0.000
-1.373, 5.217, 8.669, 30.727, -7.727, 0.000
-1.294, 5.256, 9.022, 29.972, -7.067, 0.000
-1.177, 4.629, 9.728, 25.284, -6.234, 0.000
-2.275, 3.295, 10.905, 16.478, -11.294, 0.000
